paper_id,title,pdf_file,pages,text_chars,title_match_score,datasets_mentioned,result_pages,comparison_pages,currently_on_leaderboard,prior_review,prior_reviewed_at,current_pdf_postdates_review,read_status,result_status,notes
7bcacdaff17e,A Cross-View Geo-Localization Algorithm Using UAV Image and Satellite Image,7bcacdaff17e_sensors-24-03719-v2.pdf,21,98314,1.000,University-1652; SUES-200; DenseUAV; VIGOR; CVUSA; CVACT,1; 12; 13; 14; 16,,false,none,,false,full_text_extracted_pending_visual_table_review,result_pages_found,
18a3adb9c3c3,A Deep Learning Framework with Geographic Information Adaptive Loss for Remote Sensing Images based UAV Self-Positioning,18a3adb9c3c3_A_Deep_Learning_Framework_with_Geographic_Informat_arxiv-direct.pdf,12,65611,1.000,University-1652; DenseUAV,9; 10,9,true,partial,2026-06-20T00:26:30,true,full_text_extracted_pending_visual_table_review,comparison_pages_found,
0dffafd487e0,A Hierarchical Absolute Visual Localization System for Low-Altitude Drones in GNSS-Denied Environments,0dffafd487e0_remotesensing-17-03470.pdf,42,183076,1.000,University-1652; SUES-200; DenseUAV; UAV-VisLoc; AerialVL; VIGOR; CVUSA,5; 22; 24; 25; 26; 27; 28; 34,,false,none,,false,full_text_extracted_pending_visual_table_review,result_pages_found,
631f58d43805,A Highly Robust Image Matching and Localization Method Based on Heatmap Guidance and Graph Structure Optimization,631f58d43805_ieee_alt.pdf,5,44618,1.000,University-1652; World-UAV,1; 3; 4,3,true,partial,2026-06-20T00:25:24,true,full_text_extracted_pending_visual_table_review,comparison_pages_found,
7ac44ed43a07,A Novel EAGLe Framework for Robust UAV-View Geo-Localization,7ac44ed43a07.pdf,17,127130,1.000,University-1652; SUES-200; World-UAV,9; 11; 13; 14; 15,11; 15,false,exclude,2026-06-20T00:24:39,true,full_text_extracted_pending_visual_table_review,comparison_pages_found,
54e4a5a123a2,A Review on Deep Learning for UAV Absolute Visual Localization,54e4a5a123a2_drones-08-00622.pdf,46,264463,1.000,University-1652; SUES-200; DenseUAV; UAV-VisLoc; UAV-GeoLoc,17; 19; 20; 25; 26; 27; 28; 29,,false,none,,false,full_text_extracted_pending_visual_table_review,result_pages_found,
de5c1acf58ab,A Transformer-Based Feature Segmentation and Region Alignment Method for UAV-View Geo-Localization,de5c1acf58ab_ieee_alt.pdf,14,96213,1.000,University-1652; VIGOR; CVUSA; CVACT,8; 9; 10; 11; 14,8; 9; 11,false,none,,false,full_text_extracted_pending_visual_table_review,comparison_pages_found,
e55a3076ffe2,ACCL: A Plug-and-play Adaptive Confusion-aware Contrastive Loss for UAV-to-Satellite Geolocalization,e55a3076ffe2_ieee_alt.pdf,6,56685,1.000,University-1652; SUES-200; UAV-VisLoc,4; 5; 6,,true,none,,false,full_text_extracted_pending_visual_table_review,result_pages_found,
5ab5e7a879a1,AdaptGeo: Parameter-Efficient Cross-View Geo-Localization via Frozen Foundation Model and Transformer Adapter,5ab5e7a879a1.pdf,19,122309,1.000,University-1652; SUES-200; VIGOR,7; 8; 10; 11; 12; 14,7; 8,true,exclude,2026-06-20T00:22:57,true,full_text_extracted_pending_visual_table_review,comparison_pages_found,
db7a7aafdad6,Adaptive Frequency Enhancement and Multi-Scale Semantic Interaction for Robust Cross-View Geo-Localization,db7a7aafdad6_Adaptive_Frequency_Enhancement_and_Multi-Scale_Sem_unpaywall.pdf,29,84971,1.000,University-1652; SUES-200,2; 16; 17; 18; 19; 20; 21,18; 19,true,partial,2026-06-19T23:49:13,true,full_text_extracted_pending_visual_table_review,comparison_pages_found,
