paper_id,title,cache_category,full_text_status,benchmark_disposition,datasets_keyword_scan,result_pages,comparison_pages,result_summary,leaderboard_action,pdf_file
7bcacdaff17e,A Cross-View Geo-Localization Algorithm Using UAV Image and Satellite Image,readable,complete,readable_but_not_canonical_addition,University-1652; SUES-200; DenseUAV; VIGOR; CVUSA; CVACT,1; 12; 13; 14; 16,,"Reports UL14 heatmap localization (RDS/MA), not a canonical retrieval leaderboard protocol.",kept in audit only,7bcacdaff17e_sensors-24-03719-v2.pdf
18a3adb9c3c3,A Deep Learning Framework with Geographic Information Adaptive Loss for Remote Sensing Images based UAV Self-Positioning,readable,complete,already_represented,University-1652; DenseUAV,9; 10,9,Full text extracted; result/comparison pages indexed; existing leaderboard representation retained.,kept existing rows (1 exact-title rows),18a3adb9c3c3_A_Deep_Learning_Framework_with_Geographic_Informat_arxiv-direct.pdf
0dffafd487e0,A Hierarchical Absolute Visual Localization System for Low-Altitude Drones in GNSS-Denied Environments,readable,complete,readable_but_not_canonical_addition,University-1652; SUES-200; DenseUAV; UAV-VisLoc; AerialVL; VIGOR; CVUSA,5; 22; 24; 25; 26; 27; 28; 34,,"Full text and candidate result pages were read, but the reported experiment is a different dataset, task, metric, transfer setting, survey, or navigation/local-matching protocol.",kept in audit only,0dffafd487e0_remotesensing-17-03470.pdf
631f58d43805,A Highly Robust Image Matching and Localization Method Based on Heatmap Guidance and Graph Structure Optimization,readable,complete,already_represented,University-1652; World-UAV,1; 3; 4,3,Full text extracted; result/comparison pages indexed; existing leaderboard representation retained.,kept existing rows (2 exact-title rows),631f58d43805_ieee_alt.pdf
7ac44ed43a07,A Novel EAGLe Framework for Robust UAV-View Geo-Localization,readable,complete,readable_but_not_canonical_addition,University-1652; SUES-200; World-UAV,9; 11; 13; 14; 15,11; 15,Evaluates multi-environment and unseen-environment benchmark variants; not the canonical clean splits.,kept in audit only,7ac44ed43a07.pdf
54e4a5a123a2,A Review on Deep Learning for UAV Absolute Visual Localization,readable,complete,readable_but_not_canonical_addition,University-1652; SUES-200; DenseUAV; UAV-VisLoc; UAV-GeoLoc,17; 19; 20; 25; 26; 27; 28; 29,,"Review article; contains secondary comparisons, not a new method result.",kept in audit only,54e4a5a123a2_drones-08-00622.pdf
de5c1acf58ab,A Transformer-Based Feature Segmentation and Region Alignment Method for UAV-View Geo-Localization,readable,complete,added_to_canonical_leaderboards,University-1652; VIGOR; CVUSA; CVACT,8; 9; 10; 11; 14,8; 9; 11,FSRA: visually verified canonical results on University-1652.,added 2 verified protocol rows,de5c1acf58ab_ieee_alt.pdf
e55a3076ffe2,ACCL: A Plug-and-play Adaptive Confusion-aware Contrastive Loss for UAV-to-Satellite Geolocalization,readable,complete,already_represented,University-1652; SUES-200; UAV-VisLoc,4; 5; 6,,Full text extracted; result/comparison pages indexed; existing leaderboard representation retained.,kept existing rows (13 exact-title rows),e55a3076ffe2_ieee_alt.pdf
5ab5e7a879a1,AdaptGeo: Parameter-Efficient Cross-View Geo-Localization via Frozen Foundation Model and Transformer Adapter,readable,complete,already_represented,University-1652; SUES-200; VIGOR,7; 8; 10; 11; 12; 14,7; 8,Full text extracted; result/comparison pages indexed; existing leaderboard representation retained.,kept existing rows (6 exact-title rows),5ab5e7a879a1.pdf
db7a7aafdad6,Adaptive Frequency Enhancement and Multi-Scale Semantic Interaction for Robust Cross-View Geo-Localization,readable,complete,already_represented,University-1652; SUES-200,2; 16; 17; 18; 19; 20; 21,18; 19,Full text extracted; result/comparison pages indexed; existing leaderboard representation retained.,kept existing rows (10 exact-title rows),db7a7aafdad6_Adaptive_Frequency_Enhancement_and_Multi-Scale_Sem_unpaywall.pdf
9880ae23b323,Adaptive Multi-Backbone Fusion for UAV-Centric Cross-View Geo-Localization with Partial Street–Satellite Matching,readable,complete,readable_but_not_canonical_addition,University-1652; GTA-UAV; World-UAV,2; 4; 5,4,"Full text and candidate result pages were read, but the reported experiment is a different dataset, task, metric, transfer setting, survey, or navigation/local-matching protocol.",kept in audit only,9880ae23b323_acm.pdf
757be77ae202,"AerialVL: A Dataset, Baseline and Algorithm Framework for Aerial-Based Visual Localization With Reference Map",readable,complete,already_represented_under_alias_or_manual_page,University-1652; SUES-200; World-UAV; UAV-GeoLoc; AerialVL,4,4,AerialVL benchmark results are already present on the dedicated AerialVL page.,no duplicate row added,757be77ae202_ieee_alt.pdf
6cdb7194b925,An Efficient Pyramid Transformer Network for Cross-View Geo-Localization in Complex Terrains,readable,complete,readable_but_not_canonical_addition,University-1652; SUES-200; DenseUAV; UAV-VisLoc; VIGOR; CVUSA; CVACT,6; 13; 18; 19,,Introduces and evaluates the separate Multi-UAV dataset and meter-level protocol.,kept in audit only,6cdb7194b925_drones-09-00379-v2.pdf
